排名,电影名称,评分,评价人数,简介,封面图片超链接
151,贫民窟的百万富翁,8.6,510091,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
152,黑天鹅,8.5,565484,黑暗之美。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
153,记忆碎片,8.6,385271,一个针管引发的血案。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
154,心迷宫,8.7,286588,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
155,纵横四海,8.8,238305,香港浪漫主义警匪动作片的巅峰之作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg
156,教父3,8.8,201005,任何信念的力量，都无法改变命运。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
157,荒蛮故事,8.8,235230,始于荒诞，止于更荒诞。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg
158,被解救的姜戈,8.7,372995,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg
159,三块广告牌,8.7,515831,怼天怼地，你走后，她与世界为敌。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
160,达拉斯买家俱乐部,8.7,274983,Jared Leto的腿比女人还美！,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
161,花样年华,8.6,348973,偷情本没有这样美。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
162,雨人,8.7,275152,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg
163,我是山姆,8.9,167413,爱并不需要智商 。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
164,哪吒闹海,9.0,139086,想你时你在闹海。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
165,你的名字。,8.4,799882,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
166,卢旺达饭店,8.9,167048,当这个世界闭上双眼，他却敞开了怀抱。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
167,头脑特工队,8.7,354302,愿我们都不用长大，每一座城堡都能永远存在。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
168,你看起来好像很好吃,8.8,209839,感情不分食草或者食肉。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
169,海边的曼彻斯特,8.6,305648,我们都有权利不与自己的过去和解。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg
170,恋恋笔记本,8.5,399094,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
171,无敌破坏王,8.7,320137,迪士尼和皮克斯拿错剧本的产物。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
172,冰川时代,8.5,393679,松鼠才是角儿。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
173,未麻的部屋,8.9,155486,好的剧本是，就算你猜到了结局也猜不到全部。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
174,模仿游戏,8.6,369175,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
175,二十二,8.7,178037,有一些东西不应该被遗忘。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
176,虎口脱险,8.9,145755,永远看不腻的喜剧。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
177,天书奇谭,9.2,100660,传奇的年代，醉人的童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
178,一个叫欧维的男人决定去死,8.8,206992,惠及一生的美丽。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
179,爆裂鼓手,8.7,335545,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
180,忠犬八公物语,9.1,102876,养狗三日，便会对你终其一生。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
181,雨中曲,9.0,129218,骨灰级歌舞片。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
182,头号玩家,8.7,864009,写给影迷，动漫迷和游戏迷的一封情书。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
183,海洋,9.1,118734,大海啊，不全是水。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg
184,人工智能,8.6,268100,对爱的执着，可以超越一切。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
185,功夫,8.4,501022,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
186,黑客帝国3：矩阵革命,8.7,237837,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220873438.jpg
